Band gap,Density(g/cm^3),ID,Space Group No,Volume(A^3/atoms),ave:atomic_number,ave:en_pauling,ave:first_ion_en,ave:mendeleev_number,ave:num_d_unfilled,ave:num_d_valence,ave:num_f_unfilled,ave:num_f_valence,ave:num_p_unfilled,ave:num_p_valence,ave:num_s_unfilled,ave:num_s_valence,ave:num_unfilled,ave:num_valance,ave:period,max:atomic_number,max:en_pauling,max:first_ion_en,max:mendeleev_number,max:num_d_unfilled,max:num_d_valence,max:num_f_unfilled,max:num_f_valence,max:num_p_unfilled,max:num_p_valence,max:num_s_unfilled,max:num_s_valence,max:num_unfilled,max:num_valance,max:period,min:atomic_number,min:en_pauling,min:first_ion_en,min:mendeleev_number,min:num_d_unfilled,min:num_d_valence,min:num_f_unfilled,min:num_f_valence,min:num_p_unfilled,min:num_p_valence,min:num_s_unfilled,min:num_s_valence,min:num_unfilled,min:num_valance,min:period,var:atomic_number,var:en_pauling,var:first_ion_en,var:mendeleev_number,var:num_d_unfilled,var:num_d_valence,var:num_f_unfilled,var:num_f_valence,var:num_p_unfilled,var:num_p_valence,var:num_s_unfilled,var:num_s_valence,var:num_unfilled,var:num_valance,var:period,Flag
2.2204,6.99332423692772,mp-1100,139,15.598323301638702,27.33333333333333,2.179673106259948,9.591586666666668,69.0,0.0,0.0,0.0,4.666666666666666,2.6666666666666665,1.3333333333333333,0.0,2.0,2.6666666666666665,8.0,3.333333333333333,70.0,2.55,11.2603,95.0,0.0,0.0,0.0,14.0,4.0,2.0,0.0,2.0,4.0,16.0,6.0,6.0,1.439019318779844,6.25416,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,910.2222222222224,0.2742840164543113,5.569208377688891,1352.0,0.0,0.0,0.0,43.55555555555556,3.555555555555556,0.8888888888888888,0.0,0.0,3.555555555555556,32.0,3.555555555555556,True
1.7002000000000002,2.714211143937727,mp-9062,189,35.95142253668971,26.5,1.7,7.268569,51.5,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.5,1.5,3.5,4.0,37.0,2.58,10.36001,94.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,2.0,6.0,5.0,16.0,0.82,4.177128,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,110.25,0.7744000000000001,9.557007456481005,1806.25,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.25,0.25,6.25,1.0,False
0.0,11.604953593740303,mp-31253,63,15.819088638526104,46.33333333333333,1.94,6.988540666666666,76.0,1.0,9.0,0.0,4.666666666666666,3.333333333333333,0.6666666666666666,0.0,2.0,4.333333333333333,16.333333333333332,4.666666666666666,77.0,2.2,8.96702,81.0,3.0,10.0,0.0,14.0,5.0,1.0,0.0,2.0,5.0,23.0,6.0,31.0,1.81,5.999301,66.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,13.0,4.0,470.2222222222222,0.0338,1.9571902362135551,49.99999999999999,2.0,2.0,0.0,43.55555555555556,5.555555555555555,0.2222222222222222,0.0,0.0,0.8888888888888888,22.22222222222222,0.8888888888888888,False
0.0,5.660330474483196,mp-19923,227,20.65412773085599,30.0,1.4733333333333332,6.040445333333333,62.33333333333333,3.0,0.3333333333333333,2.333333333333333,2.333333333333333,3.333333333333333,0.6666666666666666,0.0,2.0,8.666666666666666,5.333333333333333,4.0,64.0,1.61,6.1498,80.0,9.0,1.0,7.0,7.0,5.0,1.0,0.0,2.0,16.0,10.0,6.0,13.0,1.2,5.985768,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,578.0,0.0373555555555555,0.0059792215608888,624.2222222222222,18.0,0.2222222222222222,10.88888888888889,10.88888888888889,5.555555555555555,0.2222222222222222,0.0,0.0,26.88888888888889,10.88888888888889,2.0,False
1.8051,1.8755161755696017,mp-1287,189,31.500964545877817,17.5,1.7,7.350336650000001,52.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.5,1.5,3.5,3.5,19.0,2.58,10.36001,94.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,2.0,6.0,4.0,16.0,0.82,4.3406633,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.25,0.7744000000000001,9.058133673700226,1764.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.25,0.25,6.25,0.25,False
0.0,7.9607430801763135,mp-20984,221,27.90769785788254,55.75,1.285,5.600615000000001,43.75,6.75,3.25,9.75,0.75,1.25,0.25,0.0,2.0,17.75,6.25,5.75,58.0,1.78,5.78636,79.0,9.0,10.0,13.0,1.0,5.0,1.0,0.0,2.0,22.0,13.0,6.0,49.0,1.12,5.5387,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,5.0,15.1875,0.0816749999999999,0.0115004016749999,414.1875,15.1875,15.1875,31.6875,0.1875,4.6875,0.1875,0.0,0.0,54.1875,15.1875,0.1875,False
0.0,5.301453710304816,mp-1018059,186,29.98847293352749,41.0,1.93,7.303845499999999,84.5,0.0,10.0,0.0,0.0,4.0,2.0,0.0,2.0,4.0,14.0,4.5,51.0,2.05,8.60839,88.0,0.0,10.0,0.0,0.0,5.0,3.0,0.0,2.0,5.0,15.0,5.0,31.0,1.81,5.999301,81.0,0.0,10.0,0.0,0.0,3.0,1.0,0.0,2.0,3.0,13.0,4.0,100.0,0.0143999999999999,1.70183635248025,12.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.25,False
1.6749999999999998,4.019639940313158,mp-402,33,24.00995501309929,26.0,2.023333333333333,9.989066666666666,85.0,0.0,3.333333333333333,0.0,0.0,2.0,2.0,0.0,2.0,2.0,7.333333333333333,3.6666666666666665,48.0,2.19,10.48669,90.0,0.0,10.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,12.0,5.0,15.0,1.69,8.99382,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,242.0,0.0555555555555555,0.4952579637555554,49.99999999999999,0.0,22.22222222222222,0.0,0.0,2.0,2.0,0.0,0.0,2.0,10.88888888888889,0.8888888888888888,False
0.3433999999999999,3.35345410959212,mp-1106,62,33.560332600286,30.0,1.2666666666666666,6.513793333333333,38.33333333333333,0.0,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666,0.0,2.0,1.3333333333333333,2.6666666666666665,4.333333333333333,38.0,1.9,8.15168,85.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,4.0,4.0,5.0,14.0,0.95,5.69485,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,128.0,0.2005555555555555,1.341336366422223,1088.888888888889,0.0,0.0,0.0,0.0,3.555555555555556,0.888888888888889,0.0,0.0,3.555555555555556,0.8888888888888888,0.8888888888888888,False
0.0,10.289668081169106,mp-1742,221,20.99185162642595,54.5,1.7399999999999998,6.80435,46.0,5.5,4.5,3.5,3.5,0.0,0.0,0.5,1.5,9.5,9.5,5.5,64.0,2.28,7.4589,65.0,9.0,8.0,7.0,7.0,0.0,0.0,1.0,2.0,16.0,10.0,6.0,45.0,1.2,6.1498,27.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,5.0,90.25,0.2915999999999999,0.4284357024999999,361.0,12.25,12.25,12.25,12.25,0.0,0.0,0.25,0.25,42.25,0.25,0.25,False
