ID,formula,Space_Group,Space_Group_No,ave:atomic_number,ave:en_pauling,ave:first_ion_en,ave:mendeleev_number,ave:num_unfilled,ave:num_valance,ave:num_d_unfilled,ave:num_d_valence,ave:num_f_unfilled,ave:num_f_valence,ave:num_p_unfilled,ave:num_p_valence,ave:num_s_unfilled,ave:num_s_valence,ave:period,sum:atomic_number,sum:en_pauling,sum:first_ion_en,sum:mendeleev_number,sum:num_unfilled,sum:num_valance,sum:num_d_unfilled,sum:num_d_valence,sum:num_f_unfilled,sum:num_f_valence,sum:num_p_unfilled,sum:num_p_valence,sum:num_s_unfilled,sum:num_s_valence,sum:period,var:atomic_number,var:en_pauling,var:first_ion_en,var:mendeleev_number,var:num_unfilled,var:num_valance,var:num_d_unfilled,var:num_d_valence,var:num_f_unfilled,var:num_f_valence,var:num_p_unfilled,var:num_p_valence,var:num_s_unfilled,var:num_s_valence,var:period,max:atomic_number,max:en_pauling,max:first_ion_en,max:mendeleev_number,max:num_unfilled,max:num_valance,max:num_d_unfilled,max:num_d_valence,max:num_f_unfilled,max:num_f_valence,max:num_p_unfilled,max:num_p_valence,max:num_s_unfilled,max:num_s_valence,max:period,min:atomic_number,min:en_pauling,min:first_ion_en,min:mendeleev_number,min:num_unfilled,min:num_valance,min:num_d_unfilled,min:num_d_valence,min:num_f_unfilled,min:num_f_valence,min:num_p_unfilled,min:num_p_valence,min:num_s_unfilled,min:num_s_valence,min:period,Density(g/cm^3),Volume(A^3/atoms),Band_gap,Flag
mp-1214046,Ca18Si24,P6_3/m,176,16.57142857142857,1.5142857142857142,7.278028571428571,55.42857142857142,2.2857142857142856,3.142857142857143,0.0,0.0,0.0,0.0,2.2857142857142856,1.1428571428571428,0.0,2.0,3.4285714285714284,696.0,63.6,305.6772,2328.0,96.0,132.0,0.0,0.0,0.0,0.0,96.0,48.0,0.0,84.0,144.0,8.816326530612244,0.1983673469387754,1.0176890915265315,1165.9591836734694,3.918367346938776,0.979591836734694,0.0,0.0,0.0,0.0,3.918367346938776,0.979591836734694,0.0,0.0,0.2448979591836734,20.0,1.9,8.15168,85.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,4.0,14.0,1.0,6.11316,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.457602651062123,22.449376706119544,0.4155999999999995,False
mp-776896,Nb8O20,P2_12_12_1,19,17.428571428571427,2.9142857142857146,11.658278571428571,87.28571428571428,3.428571428571429,5.7142857142857135,1.7142857142857142,1.1428571428571428,0.0,0.0,1.4285714285714286,2.857142857142857,0.2857142857142857,1.7142857142857144,2.8571428571428568,488.0,81.6,326.4318,2444.0,96.0,160.0,48.0,32.0,0.0,0.0,40.0,80.0,8.0,48.0,80.0,222.24489795918367,0.6909387755102039,9.601760130612243,470.204081632653,5.1020408163265305,0.2040816326530612,7.346938775510203,3.26530612244898,0.0,0.0,0.8163265306122449,3.26530612244898,0.2040816326530612,0.2040816326530612,1.8367346938775508,41.0,3.44,13.61805,101.0,7.0,6.0,6.0,4.0,0.0,0.0,2.0,4.0,1.0,2.0,5.0,8.0,1.6,6.75885,53.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.413090808912234,18.47456143232917,2.4469,True
mp-1080371,Ce28Se56,C2/m,12,42.0,2.0733333333333333,8.347826666666666,72.66666666666667,8.666666666666666,12.0,3.0,6.999999999999999,4.333333333333333,0.3333333333333333,1.3333333333333333,2.6666666666666665,0.0,2.0,4.666666666666666,3528.0,174.16,701.21744,6104.0,728.0,1008.0,252.0,588.0,364.0,28.0,112.0,224.0,0.0,168.0,392.0,128.0,0.454422222222222,3.945596314688888,826.8888888888888,88.88888888888889,32.0,18.0,18.0,37.55555555555556,0.2222222222222222,0.8888888888888888,3.555555555555556,0.0,0.0,0.8888888888888888,58.0,2.55,9.75239,93.0,22.0,16.0,9.0,10.0,13.0,1.0,2.0,4.0,0.0,2.0,6.0,34.0,1.12,5.5387,32.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.835495246607044,89.87591081444867,0.991,False
mp-2340,Na6O6,P-62m,189,9.5,2.185,9.378563,56.0,1.5,3.5,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.5,2.5,114.0,26.22,112.542756,672.0,18.0,42.0,0.0,0.0,0.0,0.0,12.0,24.0,6.0,18.0,30.0,2.25,1.5750249999999997,17.973250023169,2025.0,0.25,6.25,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.25,0.25,11.0,3.44,13.61805,101.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,3.0,8.0,0.93,5.139076,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.5240027825531435,12.825468975559142,1.7724000000000002,False
mp-1184049,Ce2Eu6,P6_3/mmc,194,61.75,1.227718818264805,5.637460000000001,21.5,10.75,7.75,2.25,0.25,8.5,5.5,0.0,0.0,0.0,2.0,6.0,494.0,9.821750546118436,45.099680000000006,172.0,86.0,62.0,18.0,2.0,68.0,44.0,0.0,0.0,0.0,16.0,48.0,4.6875,0.0038677812694553,0.0032511792,36.75,42.1875,4.6875,15.1875,0.1875,6.75,6.75,0.0,0.0,0.0,0.0,0.0,63.0,1.2636250910197395,5.6703800000000015,32.0,22.0,9.0,9.0,1.0,13.0,7.0,0.0,0.0,0.0,2.0,6.0,58.0,1.12,5.5387,18.0,7.0,4.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,6.0,6.013939571199297,41.14169074568736,0.0,False
mp-985282,Ag3Ge1,Pm-3m,221,43.25,1.95,7.657030000000002,74.25,1.75,11.75,0.0,10.0,0.0,0.0,1.0,0.5,0.75,1.25,4.75,173.0,7.8,30.628120000000006,297.0,7.0,47.0,0.0,40.0,0.0,0.0,4.0,2.0,3.0,5.0,19.0,42.1875,0.0011999999999999,0.0195859199999999,31.6875,1.6875,1.6875,0.0,0.0,0.0,0.0,3.0,0.75,0.1875,0.1875,0.1875,47.0,2.01,7.8994300000000015,84.0,4.0,14.0,0.0,10.0,0.0,0.0,4.0,2.0,1.0,2.0,5.0,32.0,1.93,7.576230000000002,71.0,1.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,9.121116272495344,18.03451514518631,0.0,False
mp-1060281,B1N1,I4/mmm,139,6.0,2.54,11.41606,93.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,2.0,12.0,5.08,22.83212,186.0,8.0,8.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,4.0,4.0,1.0,0.25,9.722173441600004,49.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,3.04,14.5341,100.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,2.0,5.0,2.04,8.29802,86.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,1.3764614522857497,14.96982001374768,4.0137,False
mp-2232,C2S4,Cmce,64,12.666666666666666,2.57,10.660106666666668,94.33333333333331,2.6666666666666665,5.333333333333333,0.0,0.0,0.0,0.0,2.6666666666666665,3.333333333333333,0.0,2.0,2.6666666666666665,76.0,15.42,63.960640000000005,566.0,16.0,32.0,0.0,0.0,0.0,0.0,16.0,20.0,0.0,12.0,16.0,22.22222222222222,0.0002,0.1801160186888889,0.2222222222222222,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.2222222222222222,16.0,2.58,11.2603,95.0,4.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,3.0,6.0,2.55,10.36001,94.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,1.1756703390545102,35.847522531968444,3.5558,False
mp-540912,As12Ir4,Im-3,204,44.0,2.1850000000000005,9.583205,83.25,3.0,17.0,0.75,9.25,0.0,3.5,2.25,2.25,0.0,2.0,4.5,704.0,34.96000000000001,153.33128,1332.0,48.0,272.0,12.0,148.0,0.0,56.0,36.0,36.0,0.0,32.0,72.0,363.0,7.500000000000013e-05,0.1265613180750002,99.1875,0.0,12.0,1.6875,1.6875,0.0,36.75,1.6875,1.6875,0.0,0.0,0.75,77.0,2.2,9.7886,89.0,3.0,23.0,3.0,10.0,0.0,14.0,3.0,3.0,0.0,2.0,6.0,33.0,2.18,8.96702,66.0,3.0,15.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.721001425243674,19.849055607218897,0.0267999999999997,False
mp-1039345,Ce2Mg4,Cmcm,63,27.33333333333333,1.2466666666666666,6.943723333333334,59.33333333333333,7.333333333333333,2.6666666666666665,3.0,0.3333333333333333,4.333333333333333,0.3333333333333333,0.0,0.0,0.0,2.0,4.0,164.0,7.48,41.66234,356.0,44.0,16.0,18.0,2.0,26.0,2.0,0.0,0.0,0.0,12.0,24.0,470.22222222222223,0.0080222222222222,0.987045283605556,373.55555555555554,107.55555555555556,0.8888888888888888,18.0,0.2222222222222222,37.55555555555556,0.2222222222222222,0.0,0.0,0.0,0.0,2.0,58.0,1.31,7.646235000000001,73.0,22.0,4.0,9.0,1.0,13.0,1.0,0.0,0.0,0.0,2.0,6.0,12.0,1.12,5.5387,32.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.198993993184869,24.87793476181761,0.0,False
