ID,formula,Space_Group,Space_Group_No,ave:atomic_number,ave:en_pauling,ave:first_ion_en,ave:mendeleev_number,ave:num_unfilled,ave:num_valance,ave:num_d_unfilled,ave:num_d_valence,ave:num_f_unfilled,ave:num_f_valence,ave:num_p_unfilled,ave:num_p_valence,ave:num_s_unfilled,ave:num_s_valence,ave:period,sum:atomic_number,sum:en_pauling,sum:first_ion_en,sum:mendeleev_number,sum:num_unfilled,sum:num_valance,sum:num_d_unfilled,sum:num_d_valence,sum:num_f_unfilled,sum:num_f_valence,sum:num_p_unfilled,sum:num_p_valence,sum:num_s_unfilled,sum:num_s_valence,sum:period,var:atomic_number,var:en_pauling,var:first_ion_en,var:mendeleev_number,var:num_unfilled,var:num_valance,var:num_d_unfilled,var:num_d_valence,var:num_f_unfilled,var:num_f_valence,var:num_p_unfilled,var:num_p_valence,var:num_s_unfilled,var:num_s_valence,var:period,max:atomic_number,max:en_pauling,max:first_ion_en,max:mendeleev_number,max:num_unfilled,max:num_valance,max:num_d_unfilled,max:num_d_valence,max:num_f_unfilled,max:num_f_valence,max:num_p_unfilled,max:num_p_valence,max:num_s_unfilled,max:num_s_valence,max:period,min:atomic_number,min:en_pauling,min:first_ion_en,min:mendeleev_number,min:num_unfilled,min:num_valance,min:num_d_unfilled,min:num_d_valence,min:num_f_unfilled,min:num_f_valence,min:num_p_unfilled,min:num_p_valence,min:num_s_unfilled,min:num_s_valence,min:period,Density(g/cm^3),Volume(A^3/atoms),Band_gap,Flag
mp-1009755,Ca2Ge1,Fm-3m,225,24.0,1.3366666666666664,6.708583333333333,38.66666666666666,1.3333333333333333,5.999999999999999,0.0,3.333333333333333,0.0,0.0,1.3333333333333333,0.6666666666666666,0.0,2.0,4.0,72.0,4.01,20.12575,116.0,4.0,18.0,0.0,10.0,0.0,0.0,4.0,2.0,0.0,6.0,12.0,32.0,0.2266888888888887,0.709057891755557,1027.5555555555557,3.555555555555556,32.0,0.0,22.22222222222222,0.0,0.0,3.555555555555556,0.888888888888889,0.0,0.0,0.0,32.0,2.01,7.8994300000000015,84.0,4.0,14.0,0.0,10.0,0.0,0.0,4.0,2.0,0.0,2.0,4.0,20.0,1.0,6.11316,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.6972555155768045,31.355789339070096,0.6966999999999999,False
mp-1097032,Cr32N64,P4_2/mmc,131,12.666666666666666,2.58,11.944903333333333,85.66666666666666,4.0,5.333333333333333,1.6666666666666663,1.6666666666666663,0.0,0.0,2.0,2.0,0.3333333333333333,1.6666666666666663,2.6666666666666665,1216.0,247.68,1146.71072,8224.0,384.0,512.0,160.0,160.0,0.0,0.0,192.0,192.0,32.0,160.0,256.0,64.22222222222223,0.4232,13.407878757355556,410.8888888888889,2.0,0.2222222222222222,5.555555555555555,5.555555555555555,0.0,0.0,2.0,2.0,0.2222222222222222,0.2222222222222222,0.8888888888888888,24.0,3.04,14.5341,100.0,6.0,6.0,5.0,5.0,0.0,0.0,3.0,3.0,1.0,2.0,4.0,7.0,1.66,6.76651,57.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.534725866483267,28.85616325161073,0.0819,False
mp-216,Sc16O24,Ia-3,206,13.2,2.608,10.795426,68.19999999999999,4.8,4.8,3.6,0.4,0.0,0.0,1.2,2.4,0.0,2.0,2.8,528.0,104.32,431.81704,2728.0,192.0,192.0,144.0,16.0,0.0,0.0,48.0,96.0,0.0,80.0,112.0,40.56,1.038336,11.950809368064004,1613.7600000000002,11.76,2.16,19.44,0.24,0.0,0.0,0.96,3.84,0.0,0.0,0.96,21.0,3.44,13.61805,101.0,9.0,6.0,9.0,1.0,0.0,0.0,2.0,4.0,0.0,2.0,4.0,8.0,1.36,6.561489999999999,19.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.750786445876112,12.21103818264718,3.814,False
mp-30879,Tb10Tl6,P6_3/mcm,193,71.0,1.4878790304140086,5.95544775,45.5,5.0,17.0,0.0,3.75,3.125,10.875,1.875,0.375,0.0,2.0,6.0,1136.0,23.806064486624138,95.287164,728.0,80.0,272.0,0.0,60.0,50.0,174.0,30.0,6.0,0.0,32.0,96.0,60.0,0.0584516997931796,0.0139988501334374,633.75,0.0,60.0,0.0,23.4375,5.859375,5.859375,5.859375,0.234375,0.0,0.0,0.0,81.0,1.8,6.108194,78.0,5.0,27.0,0.0,10.0,5.0,14.0,5.0,1.0,0.0,2.0,6.0,65.0,1.3006064486624138,5.8638,26.0,5.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,6.0,9.801466021833468,29.81273565562733,0.0,False
mp-341,Pb1F4,I4/mmm,139,23.6,3.544,15.421566,98.0,1.6,11.2,0.0,2.0,0.0,2.8000000000000003,1.6,4.4,0.0,2.0,2.8000000000000003,118.0,17.72,77.10782999999999,490.0,8.0,56.0,0.0,10.0,0.0,14.0,8.0,22.0,0.0,10.0,14.0,852.6400000000001,0.7603840000000001,16.019750091024,64.0,1.44,70.55999999999999,0.0,16.0,0.0,31.36,1.44,1.44,0.0,0.0,2.56,82.0,3.98,17.4228,102.0,4.0,28.0,0.0,10.0,0.0,14.0,4.0,5.0,0.0,2.0,6.0,9.0,1.8,7.41663,82.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,5.807856049099866,16.19372289844809,2.0001,True
mp-714932,V10O18,P1,1,13.357142857142858,2.793571428571429,11.163814285714286,84.21428571428572,3.7857142857142856,5.642857142857143,2.5,1.0714285714285714,0.0,0.0,1.2857142857142858,2.571428571428572,0.0,2.0,2.7142857142857144,374.0,78.22,312.5868,2358.0,106.0,158.0,70.0,30.0,0.0,0.0,36.0,72.0,0.0,56.0,76.0,51.65816326530612,0.7521658163265308,10.84189129429592,507.1683673469388,5.739795918367348,0.2295918367346938,11.25,2.066326530612245,0.0,0.0,0.9183673469387756,3.673469387755103,0.0,0.0,0.9183673469387756,23.0,3.44,13.61805,101.0,7.0,6.0,7.0,3.0,0.0,0.0,2.0,4.0,0.0,2.0,4.0,8.0,1.63,6.74619,54.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.414014992771106,10.713608715966972,0.7559999999999998,False
mp-20012,In1Sb1,F-43m,216,50.0,1.915,7.197375,83.5,4.0,14.0,0.0,10.0,0.0,0.0,4.0,2.0,0.0,2.0,5.0,100.0,3.83,14.39475,167.0,8.0,28.0,0.0,20.0,0.0,0.0,8.0,4.0,0.0,4.0,10.0,1.0,0.0182249999999999,1.990963330225,20.25,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,51.0,2.05,8.60839,88.0,5.0,15.0,0.0,10.0,0.0,0.0,5.0,3.0,0.0,2.0,5.0,49.0,1.78,5.78636,79.0,3.0,13.0,0.0,10.0,0.0,0.0,3.0,1.0,0.0,2.0,5.0,5.38405945918659,36.482417614073405,0.0,False
mp-753759,V1F4,Cmmm,65,11.8,3.51,15.287478,92.4,2.2,6.6000000000000005,1.4,0.6000000000000001,0.0,0.0,0.8,4.0,0.0,2.0,2.4000000000000004,59.0,17.55,76.43739,462.0,11.0,33.0,7.0,3.0,0.0,0.0,4.0,20.0,0.0,10.0,12.0,31.36,0.8836000000000002,18.238400174736,368.64,5.76,0.64,7.84,1.44,0.0,0.0,0.16,4.0,0.0,0.0,0.64,23.0,3.98,17.4228,102.0,7.0,7.0,7.0,3.0,0.0,0.0,1.0,5.0,0.0,2.0,4.0,9.0,1.63,6.74619,54.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.961631197078204,14.2340959897791,2.8009,True
mp-685157,I2F14,P1,1,14.5,3.815,16.551357499999998,101.375,1.0,8.25,0.0,1.25,0.0,0.0,1.0,5.0,0.0,2.0,2.375,232.0,61.04,264.82172,1622.0,16.0,132.0,0.0,20.0,0.0,0.0,16.0,80.0,0.0,32.0,38.0,211.75,0.1905749999999999,5.315884215643749,2.734375,0.0,10.9375,0.0,10.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.984375,53.0,3.98,17.4228,102.0,1.0,17.0,0.0,10.0,0.0,0.0,1.0,5.0,0.0,2.0,5.0,9.0,2.66,10.45126,97.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,2.0,3.5153976090693204,15.345453529357323,1.4709999999999996,False
mp-22894,Ag2I2,P6_3mc,186,50.0,2.295,9.013745,84.0,1.0,14.0,0.0,10.0,0.0,0.0,0.5,2.5,0.5,1.5,5.0,200.0,9.18,36.05498,336.0,4.0,56.0,0.0,40.0,0.0,0.0,2.0,10.0,2.0,6.0,20.0,9.0,0.133225,2.0664493752249973,169.0,0.0,9.0,0.0,0.0,0.0,0.0,0.25,6.25,0.25,0.25,0.0,53.0,2.66,10.45126,97.0,1.0,17.0,0.0,10.0,0.0,0.0,1.0,5.0,1.0,2.0,5.0,47.0,1.93,7.576230000000002,71.0,1.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.3290292651364375,36.57788040830064,1.3955,False
