Band gap,Density(g/cm^3),Space Group No,Volume(A^3/atoms),ave:atomic_number,ave:en_pauling,ave:first_ion_en,ave:mendeleev_number,ave:num_d_unfilled,ave:num_d_valence,ave:num_f_unfilled,ave:num_f_valence,ave:num_p_unfilled,ave:num_p_valence,ave:num_s_unfilled,ave:num_s_valence,ave:num_unfilled,ave:num_valance,ave:period,max:atomic_number,max:en_pauling,max:first_ion_en,max:mendeleev_number,max:num_d_unfilled,max:num_d_valence,max:num_f_unfilled,max:num_f_valence,max:num_p_unfilled,max:num_p_valence,max:num_s_unfilled,max:num_s_valence,max:num_unfilled,max:num_valance,max:period,min:atomic_number,min:en_pauling,min:first_ion_en,min:mendeleev_number,min:num_d_unfilled,min:num_d_valence,min:num_f_unfilled,min:num_f_valence,min:num_p_unfilled,min:num_p_valence,min:num_s_unfilled,min:num_s_valence,min:num_unfilled,min:num_valance,min:period,var:atomic_number,var:en_pauling,var:first_ion_en,var:mendeleev_number,var:num_d_unfilled,var:num_d_valence,var:num_f_unfilled,var:num_f_valence,var:num_p_unfilled,var:num_p_valence,var:num_s_unfilled,var:num_s_valence,var:num_unfilled,var:num_valance,var:period
0,5.320916782,186,29.606741,41,1.98,7.78748,84,0,10,0,0,4,2,0,2,4,14,4.5,49,2.18,9.7886,89,0,10,0,0,5,3,0,2,5,15,5,33,1.78,5.78636,79,0,10,0,0,3,1,0,2,3,13,4,64,0.04,4.004481254,25,0,0,0,0,1,1,0,0,1,1,0.25
0,8.504336227,221,11.13342642,27,1.8475,7.4214775,64.5,2.75,7.25,0,0,0,0,0.25,1.75,3,9,4,28,1.91,7.6398,67,5,8,0,0,0,0,1,2,6,10,4,24,1.66,6.76651,57,2,5,0,0,0,0,0,1,2,6,4,3,0.01171875,0.142994142,18.75,1.6875,1.6875,0,0,0,0,0.1875,0.1875,3,3,0
0,8.670821903,221,10.90360776,26,1.8175,7.597305,61.5,4,6,0,0,0,0,0,2,4,8,4,27,1.88,7.88101,64,7,7,0,0,0,0,0,2,7,9,4,23,1.63,6.74619,54,3,3,0,0,0,0,0,2,3,5,4,3,0.01171875,0.241465581,18.75,3,3,0,0,0,0,0,0,3,3,0
0,10.34076087,221,16.47907554,44.5,1.9825,7.91115,64,2,8,0,0,0,0,0,0.5,2,8.5,5,46,2.2,8.3369,69,8,10,0,0,0,0,0,2,8,10,5,40,1.33,6.6339,49,0,2,0,0,0,0,0,0,0,4,5,6.75,0.14191875,0.543789188,75,12,12,0,0,0,0,0,0.75,12,6.75,0
0,7.321709994,221,13.61993072,25.25,3.13,12.4552925,92.25,0.75,1.75,0,3.5,1.5,3,0,2,2.25,10.25,3,77,3.44,13.61805,101,3,7,0,14,2,4,0,2,3,23,6,8,2.2,8.96702,66,0,0,0,0,0,0,0,2,2,6,2,892.6875,0.2883,4.056015011,229.6875,1.6875,9.1875,0,36.75,0.75,3,0,0,0.1875,54.1875,3
0,15.52961148,189,14.90755145,56.66666667,2.1,8.68976,73.66666667,0.666666667,6,0,9.333333333,1.333333333,0.666666667,0.666666667,1.333333333,2.666666667,17.33333333,5,78,2.2,8.9588,85,1,9,0,14,4,2,1,2,4,24,6,14,1.9,8.15168,68,0,0,0,0,0,0,0,1,2,4,3,910.2222222,0.02,0.144765043,64.22222222,0.222222222,18,0,43.55555556,3.555555556,0.888888889,0.222222222,0.222222222,0.888888889,88.88888889,2
0,7.341004127,65,28.52597314,53,1.683333333,6.72028,65.66666667,0,6.666666667,3.666666667,1,2.666666667,1.333333333,0,2,6.333333333,11,5.333333333,59,1.96,7.34392,83,0,10,11,3,4,2,0,2,11,14,6,50,1.13,5.473,31,0,0,0,0,0,0,0,2,4,5,5,18,0.153088889,0.777853699,600.8888889,0,22.22222222,26.88888889,2,3.555555556,0.888888889,0,0,10.88888889,18,0.222222222
0,2.830918956,229,18.02121669,14,3.725714286,15.98532857,96.28571429,0.428571429,1,0,0,0.857142857,4.285714286,0.142857143,1.857142857,1.428571429,7.142857143,2.428571429,44,3.98,17.4228,102,3,7,0,0,1,5,1,2,4,8,5,9,2.2,7.3605,62,0,0,0,0,0,0,0,1,1,7,2,150,0.387967347,12.39794465,195.9183673,1.102040816,6,0,0,0.12244898,3.06122449,0.12244898,0.12244898,1.102040816,0.12244898,1.102040816
0,14.05228454,62,21.50776529,73.5,1.725,7.571555,44.5,0.5,4.5,0.5,13.5,0,0,0.5,1.5,1.5,19.5,6,78,2.2,8.9588,68,1,9,1,14,0,0,1,2,2,24,6,69,1.25,6.18431,21,0,0,0,13,0,0,0,1,1,15,6,20.25,0.225625,1.92444869,552.25,0.25,20.25,0.25,0.25,0,0,0.25,0.25,0.25,20.25,0
0,11.02583982,225,16.66165672,47.5,2.065,7.987125,64.375,1.125,8.875,1.625,0.125,0,0,0,0.25,2.75,9.25,5.125,58,2.2,8.3369,69,9,10,13,1,0,0,0,2,22,10,6,46,1.12,5.5387,32,0,1,0,0,0,0,0,0,0,4,5,15.75,0.127575,0.856397854,149.734375,8.859375,8.859375,18.484375,0.109375,0,0,0,0.4375,52.9375,3.9375,0.109375
0,12.18492491,62,23.53823522,70,1.685,7.30125,48,0.5,4.5,4,10,0,0,0.5,1.5,5,16,6,78,2.2,8.9588,68,1,9,8,14,0,0,1,2,8,24,6,62,1.17,5.6437,28,0,0,0,6,0,0,0,1,2,8,6,64,0.265225,2.747472003,400,0.25,20.25,16,16,0,0,0.25,0.25,9,64,0
0,14.5804894,62,21.07212567,74.5,1.6,7.19233,44,5,5,0,14,0,0,0.5,1.5,5.5,20.5,6,78,2.2,8.9588,68,9,9,0,14,0,0,1,2,9,24,6,71,1,5.42586,20,1,1,0,14,0,0,0,1,2,17,6,12.25,0.36,3.120416261,576,16,16,0,0,0,0,0.25,0.25,12.25,12.25,0
0,10.49073678,62,22.4758391,58.5,1.71,7.58805,46.5,5,5,0,7,0,0,0.5,1.5,5.5,13.5,5.5,78,2.2,8.9588,68,9,9,0,14,0,0,1,2,9,24,6,39,1.22,6.2173,25,1,1,0,0,0,0,0,1,2,3,5,380.25,0.2401,1.878955563,462.25,16,16,0,49,0,0,0.25,0.25,12.25,110.25,0.25
0,15.21501734,59,20.45863262,75.5,2.125151612,8.3850975,59,0,7.5,1.25,12.75,0,0,0.75,1.25,2,21.5,6,79,2.4,9.22553,70,0,10,5,14,0,0,1,2,5,25,6,65,1.300606449,5.8638,26,0,0,0,9,0,0,0,1,1,11,6,36.75,0.226624909,2.118980361,363,0,18.75,4.6875,4.6875,0,0,0.1875,0.1875,3,36.75,0
0,6.372013807,62,23.25127525,38,1.535,6.89769,56.5,0,0,4,3,2,1,0,2,6,6,4.5,62,1.9,8.15168,85,0,0,8,6,4,2,0,2,8,8,6,14,1.17,5.6437,28,0,0,0,0,0,0,0,2,4,4,3,576,0.133225,1.57249092,812.25,0,0,16,9,4,1,0,0,4,4,2.25
0,7.190394638,71,10.62182273,20.42857143,1.851428571,7.638375714,71.85714286,2.571428571,1.714285714,0,0,2.857142857,0.571428571,0.428571429,1.571428571,5.857142857,3.857142857,3.285714286,41,2.04,8.29802,86,6,4,0,0,5,1,1,2,7,5,5,5,1.6,6.75885,53,0,0,0,0,0,0,0,1,5,3,2,317.3877551,0.047412245,0.580174112,266.6938776,8.816326531,3.918367347,0,0,6.12244898,0.244897959,0.244897959,0.244897959,0.979591837,0.979591837,2.204081633
0,16.28044555,59,19.52881527,77,2.05,8.2756125,57.5,2.25,7.75,0,14,0,0,0.75,1.25,3,23,6,79,2.4,9.22553,70,9,10,0,14,0,0,1,2,9,25,6,71,1,5.42586,20,0,1,0,14,0,0,0,1,1,17,6,12,0.3675,2.70702977,468.75,15.1875,15.1875,0,0,0,0,0.1875,0.1875,12,12,0
0,14.30206113,198,15.37269225,54.5,2.005,7.4790505,74.5,0.5,9.5,0,7,2.5,0.5,0.5,1.5,3.5,18.5,5,78,2.2,8.9588,81,1,10,0,14,5,1,1,2,5,24,6,31,1.81,5.999301,68,0,9,0,0,0,0,0,1,2,13,4,552.25,0.038025,2.189658583,42.25,0.25,0.25,0,49,6.25,0.25,0.25,0.25,2.25,30.25,1
0,6.232252326,225,22.93753201,37,1.85,7.949355,63,4.5,0.5,6.5,0.5,1,2,0,2,12,5,4.5,58,2.58,10.36001,94,9,1,13,1,2,4,0,2,22,6,6,16,1.12,5.5387,32,0,0,0,0,0,0,0,2,2,4,3,441,0.5329,5.811257529,961,20.25,0.25,42.25,0.25,1,4,0,0,100,1,2.25
0,3.185370808,166,25.35513855,21.92857143,1.374285714,5.881868714,56.78571429,0,0,0,0,3.214285714,0.642857143,0,2,3.214285714,2.642857143,3.714285714,38,1.61,5.985768,80,0,0,0,0,5,1,0,2,5,3,5,13,0.95,5.69485,15,0,0,0,0,0,0,0,2,0,2,3,143.494898,0.100010204,0.019431111,970.0255102,0,0,0,0,5.739795918,0.229591837,0,0,5.739795918,0.229591837,0.918367347
